sale_id,sku_id,product_name,category,sale_date,qty_sold,unit_price_usd,total_revenue_usd,channel,region,return_qty,discount_pct
SALE-9000,SKU-1031,Blender,Home & Kitchen,2025-05-11,41,504.08,20667.28,B2B Direct,Central,0,0
SALE-9001,SKU-1016,Desk Organizer,Office,2025-12-16,37,444.56,16448.72,Website,West,0,0
SALE-9002,SKU-1016,Desk Organizer,Office,2025-11-02,41,444.56,18226.96,Website,West,0,0
SALE-9003,SKU-1035,Food Storage Containers,Home & Kitchen,2025-12-14,17,314.44,5345.48,Marketplace,North,0,15
SALE-9004,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-06-13,37,260.8,9649.6,B2B Direct,Central,1,0
SALE-9005,SKU-1020,Men T-Shirt,Clothing,2026-02-11,33,371.05,12244.65,Retail Store,West,0,0
SALE-9006,SKU-1040,Face Moisturizer,Beauty,2025-05-17,11,215.83,2374.13,Marketplace,West,0,0
SALE-9007,SKU-1004,Webcam,Electronics,2025-04-13,11,342.33,3765.63,Marketplace,South,0,0
SALE-9008,SKU-1017,Printer Ink Cartridge,Office,2026-01-07,42,587.04,24655.68,Retail Store,East,0,15
SALE-9009,SKU-1047,Eye Cream,Beauty,2025-12-29,34,102.49,3484.66,Retail Store,West,0,0
SALE-9010,SKU-1046,Body Lotion,Beauty,2025-07-02,43,51.61,2219.23,Marketplace,North,0,0
SALE-9011,SKU-1004,Webcam,Electronics,2025-11-01,36,479.26,17253.36,Website,North,0,20
SALE-9012,SKU-1006,LED Desk Lamp,Electronics,2025-07-16,40,581.48,23259.2,Mobile App,North,3,0
SALE-9013,SKU-1014,File Folders,Office,2025-07-08,48,348.85,16744.8,Marketplace,West,0,5
SALE-9014,SKU-1010,Ballpoint Pens (Box),Office,2025-03-18,3,139.01,417.03,Marketplace,East,0,15
SALE-9015,SKU-1017,Printer Ink Cartridge,Office,2025-12-09,29,821.86,23833.94,Mobile App,Central,0,0
SALE-9016,SKU-1047,Eye Cream,Beauty,2026-01-23,37,73.21,2708.77,Retail Store,Central,0,0
SALE-9017,SKU-1022,Hoodie,Clothing,2025-11-05,35,120.26,4209.1,Mobile App,North,0,0
SALE-9018,SKU-1009,Laptop Stand,Electronics,2025-08-06,1,84.62,84.62,Website,Central,0,0
